"(<music21.pitch.Pitch G>, 'major')",4340
"(<music21.pitch.Pitch A>, 'minor')",3261
"(<music21.pitch.Pitch D>, 'major')",2995
"(<music21.pitch.Pitch C>, 'major')",2819
"(<music21.pitch.Pitch F>, 'major')",2703
"(<music21.pitch.Pitch G>, 'minor')",2560
"(<music21.pitch.Pitch A>, 'major')",2531
"(<music21.pitch.Pitch D>, 'minor')",2458
"(<music21.pitch.Pitch B->, 'major')",2207
"(<music21.pitch.Pitch E>, 'minor')",2057
"(<music21.pitch.Pitch B>, 'minor')",2004
"(<music21.pitch.Pitch E>, 'major')",1078
"(<music21.pitch.Pitch C>, 'minor')",1041
"(<music21.pitch.Pitch E->, 'major')",797
"(<music21.pitch.Pitch F#>, 'minor')",759
"(<music21.pitch.Pitch B>, 'major')",239
"(<music21.pitch.Pitch F>, 'minor')",161
"(<music21.pitch.Pitch A->, 'major')",149
"(<music21.pitch.Pitch B->, 'minor')",140
"(<music21.pitch.Pitch C#>, 'minor')",125
"(<music21.pitch.Pitch C#>, 'major')",34
"(<music21.pitch.Pitch E->, 'minor')",25
"(<music21.pitch.Pitch F#>, 'major')",18
